persona_name,booking_date,account_id,transaction_date,amount,currency,remitter
bonus_income,2025-11-01,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-01,-1614.65,GBP,D/D VIRGIN ATLANTIC REF:CC-PYMT
bonus_income,2025-11-01,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-01,531.23,GBP,BACS SALARY REF:WAGES
bonus_income,2025-11-01,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-01,-35.46,GBP,HEATHROW EXPRESS REF:TRAVEL
bonus_income,2025-11-01,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-01,747.22,GBP,BACS PAYROLL PRIMARY-ACC REF:SALARY
bonus_income,2025-11-03,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-03,-70.48,GBP,D/D SKY DIGITAL REF:SAT-992
bonus_income,2025-11-04,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-04,-151.08,GBP,HARRODS LTD LONDON SW1
bonus_income,2025-11-05,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-05,-39.63,GBP,HEATHROW EXPRESS REF:TRAVEL
bonus_income,2025-11-06,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-06,-371.18,GBP,HARRODS LTD LONDON SW1
bonus_income,2025-11-08,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-08,630.26,GBP,BACS PAYROLL PRIMARY-ACC REF:SALARY
bonus_income,2025-11-08,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-08,522.47,GBP,BACS SALARY REF:WAGES
bonus_income,2025-11-12,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-12,-379.4,GBP,HARRODS LTD LONDON SW1
bonus_income,2025-11-15,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-15,805.55,GBP,BACS PAYROLL PRIMARY-ACC REF:SALARY
bonus_income,2025-11-15,EJQE1RyrV3SqexJ3RjxgsgdVoyG5MkH4MEZz5,2025-11-15,592.94,GBP,BACS SALARY REF:WAGES
